INFO : 2020/10/14 12:20:38.111994 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
INFO : 2020/10/14 12:26:54.098708 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:26:55.073750 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:26:56.065894 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:26:57.076590 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:26:59.082945 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:00.069391 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:01.076815 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:02.104678 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:04.087026 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:07.095284 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:08.468084 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:09.091047 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:10.159380 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:11.096956 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:12.074306 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:13.096449 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:15.052760 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:17.083521 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:21.061474 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:22.093704 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:23.112660 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:24.111838 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:25.064209 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:26.058245 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:27.085460 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:29.080906 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:32.085683 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:33.117945 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:34.096671 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:36.118263 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:37.127837 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:39.085915 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:46.062662 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:47.064356 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:49.081417 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:51.073572 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:52.088891 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:53.106890 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:54.118957 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:55.065129 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:56.050046 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:57.065735 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:58.088940 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:27:58.278046 db.go:70: database ping sucess
INFO : 2020/10/14 12:27:59.088087 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
INFO : 2020/10/14 12:28:00.067786 server.go:61: execute cmd end: [id: 1 cmd: echo  TEST HELLO err: %!s(<nil>), result : TEST HELLO
, host: 10.200.105.49]
